Date,Temperature
5/14/2019 0:00,28.83
5/14/2019 1:00,28.57
5/14/2019 2:00,28.29
5/14/2019 3:00,28.07
5/14/2019 4:00,27.88
5/14/2019 5:00,27.73
5/14/2019 6:00,27.84
5/14/2019 7:00,28.63
5/14/2019 8:00,29.32
5/14/2019 9:00,30.76
5/14/2019 10:00,31.55
5/14/2019 11:00,32.04
5/14/2019 12:00,32.26
5/14/2019 13:00,33.6
5/14/2019 14:00,32.16
5/14/2019 15:00,32.44
5/14/2019 16:00,32.24
5/14/2019 17:00,32.27
5/14/2019 18:00,31.08
5/14/2019 19:00,30.73
5/14/2019 20:00,30.12
5/14/2019 21:00,29.59
5/14/2019 22:00,28.93
5/14/2019 23:00,28.87
5/15/2019 0:00,28.8
5/15/2019 1:00,28.61
5/15/2019 2:00,28.3
5/15/2019 3:00,27.62
5/15/2019 4:00,26.97
5/15/2019 5:00,26.61
5/15/2019 6:00,27.1
5/15/2019 7:00,29.17
5/15/2019 8:00,29.79
5/15/2019 9:00,31.76
5/15/2019 10:00,32.34
5/15/2019 11:00,32.76
5/15/2019 12:00,33.29
5/15/2019 13:00,33.87
5/15/2019 14:00,33.86
5/15/2019 15:00,33.36
5/15/2019 16:00,32.91
5/15/2019 17:00,32.88
5/15/2019 18:00,31.59
5/15/2019 19:00,32.14
5/15/2019 20:00,30.83
5/15/2019 21:00,29.55
5/15/2019 22:00,28.88
5/15/2019 23:00,28.22
5/16/2019 0:00,27.94
5/16/2019 1:00,27.7
5/16/2019 2:00,27.59
5/16/2019 3:00,27.37
5/16/2019 4:00,27.13
5/16/2019 5:00,26.87
5/16/2019 6:00,27.25
5/16/2019 7:00,29.52
5/16/2019 8:00,29.95
5/16/2019 9:00,31.89
5/16/2019 10:00,33.14
5/16/2019 11:00,32.75
5/16/2019 12:00,33.29
5/16/2019 13:00,33.76
5/16/2019 14:00,33.28
5/16/2019 15:00,32.86
5/16/2019 16:00,32.6
5/16/2019 17:00,32.43
5/16/2019 18:00,31.38
5/16/2019 19:00,30.1
5/16/2019 20:00,29.45
5/16/2019 21:00,28.94
5/16/2019 22:00,28.54
5/16/2019 23:00,28.22
5/17/2019 0:00,27.99
5/17/2019 1:00,27.68
5/17/2019 2:00,27.39
5/17/2019 3:00,27.12
5/17/2019 4:00,26.83
5/17/2019 5:00,26.65
5/17/2019 6:00,27.07
5/17/2019 7:00,29.3
5/17/2019 8:00,30.98
5/17/2019 9:00,32.43
5/17/2019 10:00,33.98
5/17/2019 11:00,35.35
5/17/2019 12:00,34.44
5/17/2019 13:00,34.55
5/17/2019 14:00,34.21
5/17/2019 15:00,33.93
5/17/2019 16:00,33.62
5/17/2019 17:00,33.66
5/17/2019 18:00,32.51
5/17/2019 19:00,31.78
5/17/2019 20:00,31.04
5/17/2019 21:00,29.95
5/17/2019 22:00,29.33
5/17/2019 23:00,28.9
5/18/2019 0:00,28.57
5/18/2019 1:00,28.32
5/18/2019 2:00,27.94
5/18/2019 3:00,27.58
5/18/2019 4:00,27.22
5/18/2019 5:00,26.93
5/18/2019 6:00,27.44
5/18/2019 7:00,29.37
5/18/2019 8:00,30.93
5/18/2019 9:00,32.51
5/18/2019 10:00,32.61
5/18/2019 11:00,33.67
5/18/2019 12:00,35.54
5/18/2019 13:00,36.22
5/18/2019 14:00,36.48
5/18/2019 15:00,36.33
5/18/2019 16:00,35.83
5/18/2019 17:00,34.92
5/18/2019 18:00,33.42
5/18/2019 19:00,32.37
5/18/2019 20:00,31.2
5/18/2019 21:00,30.26
5/18/2019 22:00,29.85
5/18/2019 23:00,29.49
5/19/2019 0:00,29.19
